,Year,Team,GP,MPG,FG%,FT%,RPG,APG,PPG
0,1956–57,Boston,48.0,35.3,0.427,0.492,19.6,1.8,14.7
1,1957–58,Boston,69.0,38.3,0.442,0.519,22.7,2.9,16.6
2,1958–59,Boston,70.0,42.6,0.457,0.598,23.0,3.2,16.7
3,1959–60,Boston,74.0,42.5,0.467,0.612,24.0,3.7,18.2
4,1960–61,Boston,78.0,44.3,0.426,0.55,23.9,3.4,16.9
5,1961–62,Boston,76.0,45.2,0.457,0.575,23.6,4.5,18.9
6,1962–63,Boston,78.0,44.9,0.432,0.555,23.6,4.5,16.8
7,1963–64,Boston,78.0,44.6,0.433,0.55,24.7,4.7,15.0
8,1964–65,Boston,78.0,44.4,0.438,0.573,24.1,5.3,14.1
9,1965–66,Boston,78.0,43.4,0.415,0.551,22.8,4.8,12.9
10,1966–67,Boston,81.0,40.7,0.454,0.61,21.0,5.8,13.3
11,1967–68,Boston,78.0,37.9,0.425,0.537,18.6,4.6,12.5
12,1968–69,Boston,77.0,42.7,0.433,0.526,19.3,4.9,9.9
