,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1985,Philadelphia,13.0,2.0,31.4,0.54,0.667,0.733,11.1,2.0,1.8,1.2,14.9
1,1986,Philadelphia,12.0,12.0,41.4,0.578,0.067,0.695,15.8,5.6,2.3,1.3,25.0
2,1987,Philadelphia,5.0,5.0,42.0,0.573,0.125,0.8,12.6,2.4,0.8,1.6,24.6
3,1989,Philadelphia,3.0,3.0,45.0,0.644,0.2,0.71,11.7,5.3,1.7,0.7,27.0
4,1990,Philadelphia,10.0,10.0,41.9,0.543,0.333,0.602,15.5,4.3,0.8,0.7,24.7
5,1991,Philadelphia,8.0,8.0,40.8,0.592,0.1,0.653,10.5,6.0,1.9,0.4,24.9
6,1993,Phoenix,24.0,24.0,42.8,0.477,0.222,0.771,13.6,4.3,1.6,1.0,26.6
7,1994,Phoenix,10.0,10.0,42.5,0.509,0.35,0.764,13.0,4.8,2.5,0.9,27.6
8,1995,Phoenix,10.0,10.0,39.0,0.5,0.257,0.733,13.4,3.2,1.3,1.1,25.7
9,1996,Phoenix,4.0,4.0,41.0,0.443,0.25,0.787,13.5,3.8,1.0,1.0,25.5
10,1997,Houston,16.0,16.0,37.8,0.434,0.289,0.769,12.0,3.4,1.2,0.4,17.9
11,1998,Houston,4.0,0.0,21.8,0.522,0.0,0.571,5.3,1.0,1.3,0.0,9.0
12,1999,Houston,4.0,4.0,39.3,0.529,0.286,0.667,13.8,3.8,1.5,0.5,23.5
