,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1984–85,Philadelphia,82.0,60.0,28.6,0.545,0.167,0.733,8.6,1.9,1.2,1.0,14.0
1,1985–86,Philadelphia,80.0,80.0,36.9,0.572,0.227,0.685,12.8,3.9,2.2,1.6,20.0
2,1986–87,Philadelphia,68.0,62.0,40.3,0.594,0.202,0.761,14.6,4.9,1.8,1.5,23.0
3,1987–88,Philadelphia,80.0,80.0,39.6,0.587,0.28,0.751,11.9,3.2,1.3,1.3,28.3
4,1988–89,Philadelphia,79.0,79.0,39.1,0.579,0.216,0.753,12.5,4.1,1.6,0.9,25.8
5,1989–90,Philadelphia,79.0,79.0,39.1,0.6,0.217,0.749,11.5,3.9,1.9,0.6,25.2
6,1990–91,Philadelphia,67.0,67.0,37.3,0.57,0.284,0.722,10.1,4.2,1.6,0.5,27.6
7,1991–92,Philadelphia,75.0,75.0,38.4,0.552,0.234,0.695,11.1,4.1,1.8,0.6,23.1
8,1992–93,Phoenix,76.0,76.0,37.6,0.52,0.305,0.765,12.2,5.1,1.6,1.0,25.6
9,1993–94,Phoenix,65.0,65.0,35.4,0.495,0.27,0.704,11.2,4.6,1.6,0.6,21.6
10,1994–95,Phoenix,68.0,68.0,35.0,0.486,0.338,0.748,11.1,4.1,1.6,0.7,23.0
11,1995–96,Phoenix,71.0,71.0,37.1,0.5,0.28,0.777,11.6,3.7,1.6,0.8,23.2
12,1996–97,Houston,53.0,53.0,37.9,0.484,0.283,0.694,13.5,4.7,1.3,0.5,19.2
13,1997–98,Houston,68.0,41.0,33.0,0.485,0.214,0.746,11.7,3.2,1.0,0.4,15.2
14,1998–99,Houston,42.0,40.0,36.3,0.478,0.16,0.719,12.3,4.6,1.0,0.3,16.1
15,1999–00,Houston,20.0,18.0,31.0,0.477,0.231,0.645,10.5,3.2,0.7,0.2,14.5
