,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1990,San Antonio,10.0,10.0,37.5,0.533,0.0,0.677,12.0,2.3,1.1,4.0,24.3
1,1991,San Antonio,4.0,4.0,41.5,0.686,0.0,0.868,13.5,2.0,1.5,3.8,25.8
2,1993,San Antonio,10.0,10.0,42.1,0.465,0.0,0.664,12.6,4.0,1.0,3.6,23.1
3,1994,San Antonio,4.0,4.0,36.5,0.411,0.0,0.741,10.0,3.5,0.8,2.5,20.0
4,1995,San Antonio,15.0,15.0,41.5,0.446,0.2,0.812,12.1,3.1,1.5,2.6,25.3
5,1996,San Antonio,10.0,10.0,35.3,0.516,0.0,0.667,10.1,2.4,1.5,2.5,23.6
6,1998,San Antonio,9.0,9.0,39.2,0.425,0.0,0.635,14.1,2.6,1.2,3.3,19.4
7,1999,San Antonio,17.0,17.0,35.3,0.483,0.0,0.722,9.9,2.5,1.6,2.4,15.6
8,2000,San Antonio,4.0,4.0,38.8,0.373,0.0,0.762,13.8,2.5,1.8,3.0,23.5
9,2001,San Antonio,13.0,13.0,31.5,0.472,0.0,0.695,11.8,1.7,1.3,2.4,16.6
10,2002,San Antonio,4.0,4.0,20.3,0.474,0.0,0.0,5.8,1.3,0.8,0.8,4.5
11,2003,San Antonio,23.0,23.0,23.4,0.542,0.0,0.667,6.6,0.9,0.8,1.3,7.8
