,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1989–90,San Antonio,82.0,81.0,36.6,0.531,0.0,0.732,12.0,2.0,1.7,3.9,24.3
1,1990–91,San Antonio,82.0,81.0,37.7,0.552,0.143,0.762,13.0,2.5,1.5,3.9,25.6
2,1991–92,San Antonio,68.0,68.0,37.7,0.551,0.125,0.701,12.2,2.7,2.3,4.5,23.2
3,1992–93,San Antonio,82.0,82.0,39.2,0.501,0.176,0.732,11.7,3.7,1.5,3.2,23.4
4,1993–94,San Antonio,80.0,80.0,40.5,0.507,0.345,0.749,10.7,4.8,1.7,3.3,29.8
5,1994–95,San Antonio,81.0,81.0,38.0,0.53,0.3,0.774,10.8,2.9,1.7,3.2,27.6
6,1995–96,San Antonio,82.0,82.0,36.8,0.516,0.333,0.761,12.2,3.0,1.4,3.3,25.0
7,1996–97,San Antonio,6.0,6.0,24.5,0.5,0.0,0.654,8.5,1.3,1.0,1.0,17.7
8,1997–98,San Antonio,73.0,73.0,33.7,0.511,0.25,0.735,10.6,2.7,0.9,2.6,21.6
9,1998–99,San Antonio,49.0,49.0,31.7,0.509,0.0,0.658,10.0,2.1,1.4,2.4,15.8
10,1999–00,San Antonio,80.0,80.0,32.0,0.512,0.0,0.726,9.6,1.8,1.2,2.3,17.8
11,2000–01,San Antonio,80.0,80.0,29.6,0.486,0.0,0.747,8.6,1.5,1.0,2.5,14.4
12,2001–02,San Antonio,78.0,78.0,29.5,0.507,0.0,0.681,8.3,1.2,1.1,1.8,12.2
13,2002–03,San Antonio,64.0,64.0,26.2,0.469,0.0,0.71,7.9,1.0,0.8,1.7,8.5
