,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1983,Atlanta,3.0,3.0,36.3,0.405,1.0,0.857,5.0,0.3,0.7,0.3,15.7
1,1984,Atlanta,5.0,5.0,34.4,0.417,0.0,0.839,8.2,2.2,2.4,0.2,19.2
2,1986,Atlanta,9.0,9.0,40.0,0.433,0.439,0.861,6.0,2.8,1.0,0.2,28.6
3,1987,Atlanta,9.0,9.0,40.0,0.41,0.415,0.892,7.8,2.8,1.8,0.9,26.8
4,1988,Atlanta,12.0,12.0,39.4,0.457,0.222,0.768,6.4,2.8,1.3,0.5,31.2
5,1989,Atlanta,5.0,5.0,42.4,0.448,0.294,0.711,5.4,3.4,0.8,1.6,27.2
6,1991,Atlanta,5.0,5.0,39.0,0.372,0.133,0.914,6.4,2.6,1.8,1.0,20.8
7,1993,Atlanta,3.0,3.0,37.7,0.427,0.25,0.767,5.3,3.0,1.0,0.3,30.0
8,1995,Boston,4.0,4.0,37.5,0.426,0.471,0.889,10.8,2.0,0.5,0.8,19.0
9,1999,Orlando,1.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0
