,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1982–83,Atlanta,82.0,82.0,32.9,0.493,0.182,0.682,5.8,1.6,1.0,0.8,17.5
1,1983–84,Atlanta,81.0,81.0,36.6,0.479,0.0,0.77,7.2,1.6,1.4,1.1,21.6
2,1984–85,Atlanta,81.0,81.0,37.3,0.451,0.309,0.806,6.9,2.5,1.7,0.7,27.4
3,1985–86,Atlanta,78.0,78.0,39.1,0.468,0.186,0.818,7.8,2.6,1.8,0.6,30.3
4,1986–87,Atlanta,79.0,79.0,37.6,0.463,0.292,0.818,6.3,3.3,1.5,0.6,29.0
5,1987–88,Atlanta,78.0,76.0,37.8,0.464,0.295,0.826,6.4,2.9,1.3,0.6,30.7
6,1988–89,Atlanta,80.0,80.0,37.5,0.464,0.276,0.844,6.9,2.6,1.5,0.7,26.2
7,1989–90,Atlanta,80.0,79.0,36.1,0.484,0.322,0.807,6.5,2.5,1.6,0.6,26.7
8,1990–91,Atlanta,81.0,81.0,38.0,0.47,0.341,0.829,9.0,3.3,1.5,0.8,25.9
9,1991–92,Atlanta,42.0,42.0,38.1,0.464,0.289,0.835,7.0,3.8,1.2,0.6,28.1
10,1992–93,Atlanta,71.0,70.0,37.3,0.468,0.38,0.828,6.8,3.2,1.0,0.4,29.9
11,1993–94,Atlanta,49.0,49.0,34.4,0.432,0.308,0.854,6.2,2.3,1.3,0.4,24.4
12,1993–94,L.A. Clippers,25.0,25.0,37.9,0.453,0.247,0.835,7.0,2.2,1.2,0.3,29.1
13,1994–95,Boston,77.0,64.0,31.5,0.424,0.388,0.782,5.2,2.2,0.8,0.2,17.8
14,1996–97,San Antonio,63.0,26.0,30.9,0.417,0.293,0.803,6.4,1.9,0.6,0.5,18.2
15,1998–99,Orlando,27.0,2.0,9.3,0.379,0.263,0.69,2.6,0.6,0.1,0.0,5.1
