,Year,Team,GP,MPG,FG%,FT%,RPG,APG,PPG
0,1959,Minneapolis,13.0,42.8,0.403,0.77,12.0,3.3,25.5
1,1960,Minneapolis,9.0,45.3,0.474,0.84,14.1,3.4,33.4
2,1961,L.A. Lakers,12.0,45.0,0.47,0.824,15.3,4.6,38.1
3,1962,L.A. Lakers,13.0,43.9,0.438,0.774,17.7,3.6,38.6
4,1963,L.A. Lakers,13.0,43.2,0.442,0.825,13.6,4.5,32.6
5,1964,L.A. Lakers,5.0,44.2,0.378,0.775,11.6,5.6,24.2
6,1965,L.A. Lakers,1.0,5.0,0.0,,0.0,1.0,0.0
7,1966,L.A. Lakers,14.0,41.9,0.442,0.81,14.1,3.7,26.8
8,1967,L.A. Lakers,3.0,40.3,0.368,0.75,13.0,3.0,23.7
9,1968,L.A. Lakers,15.0,42.2,0.468,0.679,14.5,4.0,28.5
10,1969,L.A. Lakers,18.0,35.6,0.385,0.63,9.2,4.1,15.4
11,1970,L.A. Lakers,18.0,37.1,0.466,0.741,9.6,4.6,18.7
