,Year,Team,GP,MPG,FG%,FT%,RPG,APG,PPG
0,1958–59,Minneapolis,70.0,40.8,0.408,0.777,15.0,4.1,24.9
1,1959–60,Minneapolis,70.0,41.0,0.424,0.732,16.4,3.5,29.6
2,1960–61,L.A. Lakers,73.0,42.9,0.43,0.783,19.8,5.1,34.8
3,1961–62,L.A. Lakers,48.0,44.4,0.428,0.754,18.6,4.6,38.3
4,1962–63,L.A. Lakers,80.0,42.1,0.453,0.837,14.3,4.8,34.0
5,1963–64,L.A. Lakers,78.0,40.6,0.425,0.804,12.0,4.4,25.4
6,1964–65,L.A. Lakers,74.0,41.3,0.401,0.792,12.8,3.8,27.1
7,1965–66,L.A. Lakers,65.0,30.4,0.401,0.739,9.6,3.4,16.6
8,1966–67,L.A. Lakers,70.0,38.7,0.429,0.813,12.8,3.1,26.6
9,1967–68,L.A. Lakers,77.0,39.3,0.443,0.786,12.2,4.6,26.0
10,1968–69,L.A. Lakers,76.0,40.3,0.447,0.743,10.6,5.4,24.8
11,1969–70,L.A. Lakers,54.0,41.0,0.486,0.773,10.4,5.4,24.0
12,1970–71,L.A. Lakers,2.0,28.5,0.421,0.667,5.5,1.0,10.0
13,1971–72,L.A. Lakers,9.0,26.6,0.433,0.815,6.3,2.0,11.8
