,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1961,L.A. Lakers,12.0,,38.4,0.49,,0.726,8.7,5.3,,,22.9
1,1962,L.A. Lakers,13.0,,42.8,0.465,,0.807,6.8,4.4,,,31.5
2,1963,L.A. Lakers,13.0,,41.4,0.503,,0.74,8.2,4.7,,,27.8
3,1964,L.A. Lakers,5.0,,41.2,0.496,,0.792,7.2,3.4,,,31.2
4,1965,L.A. Lakers,11.0,,42.7,0.442,,0.89,5.7,5.3,,,40.6
5,1966,L.A. Lakers,14.0,,44.2,0.518,,0.872,6.3,5.6,,,34.2
6,1967,L.A. Lakers,1.0,,1.0,,,,1.0,0.0,,,0.0
7,1968,L.A. Lakers,15.0,,41.5,0.527,,0.781,5.4,5.5,,,30.8
8,1969,L.A. Lakers,18.0,,42.1,0.463,,0.804,3.9,7.5,,,30.9
9,1970,L.A. Lakers,18.0,,46.1,0.469,,0.802,3.7,8.4,,,31.2
10,1972,L.A. Lakers,15.0,,40.5,0.376,,0.83,4.9,8.9,,,22.9
11,1973,L.A. Lakers,17.0,,37.5,0.449,,0.78,4.5,7.8,,,23.6
12,1974,L.A. Lakers,1.0,,14.0,0.222,,,2.0,1.0,0.0,0.0,4.0
