,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1985,Utah,10.0,0.0,18.6,0.467,0.0,0.743,2.8,4.3,1.1,0.2,6.8
1,1986,Utah,4.0,0.0,14.3,0.529,1.0,0.889,1.5,3.5,1.3,0.0,6.8
2,1987,Utah,5.0,2.0,31.4,0.621,0.8,0.729,2.2,8.0,3.0,0.2,10.0
3,1988,Utah,11.0,11.0,43.5,0.507,0.286,0.824,4.1,14.8,3.4,0.3,19.5
4,1989,Utah,3.0,3.0,46.3,0.508,0.75,0.905,3.3,13.7,3.7,1.7,27.3
5,1990,Utah,5.0,5.0,38.8,0.42,0.077,0.8,3.2,15.0,1.2,0.0,15.0
6,1991,Utah,9.0,9.0,41.4,0.537,0.407,0.841,4.7,13.8,2.2,0.2,18.2
7,1992,Utah,16.0,16.0,38.9,0.423,0.31,0.833,2.9,13.6,2.1,0.3,14.8
8,1993,Utah,5.0,5.0,38.6,0.451,0.385,0.833,2.4,11.0,2.4,0.0,13.2
9,1994,Utah,16.0,16.0,37.3,0.456,0.167,0.81,3.3,9.8,1.7,0.5,14.4
10,1995,Utah,5.0,5.0,38.6,0.459,0.4,0.765,3.4,10.2,1.4,0.2,17.8
11,1996,Utah,18.0,18.0,37.7,0.446,0.289,0.814,3.2,10.8,1.6,0.4,11.1
12,1997,Utah,20.0,20.0,37.0,0.521,0.38,0.856,3.9,9.6,1.7,0.3,16.1
13,1998,Utah,20.0,20.0,29.8,0.494,0.346,0.718,3.0,7.8,1.6,0.2,11.1
14,1999,Utah,11.0,11.0,32.0,0.4,0.333,0.739,3.3,8.4,1.6,0.1,11.1
15,2000,Utah,10.0,10.0,35.0,0.461,0.389,0.767,3.0,10.3,1.3,0.2,11.2
16,2001,Utah,5.0,5.0,37.2,0.459,0.0,0.714,5.6,11.4,2.0,0.6,9.8
17,2002,Utah,4.0,4.0,35.3,0.45,0.286,0.923,4.0,10.0,2.8,0.3,12.5
18,2003,Utah,5.0,5.0,29.8,0.462,0.0,1.0,3.2,5.2,1.6,0.2,11.2
