,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1970,Milwaukee,10.0,,43.5,0.567,,0.733,16.8,4.1,,,35.2
1,1971,Milwaukee,14.0,,41.2,0.515,,0.673,17.0,2.5,,,26.6
2,1972,Milwaukee,11.0,,46.4,0.437,,0.704,18.2,5.1,,,28.7
3,1973,Milwaukee,6.0,,46.0,0.428,,0.543,16.2,2.8,,,22.8
4,1974,Milwaukee,16.0,,47.4,0.557,,0.736,15.8,4.9,1.3,2.4,32.2
5,1977,L.A. Lakers,11.0,,42.5,0.607,,0.725,17.7,4.1,1.7,3.5,34.6
6,1978,L.A. Lakers,3.0,,44.7,0.521,,0.556,13.7,3.7,0.7,4.0,27.0
7,1979,L.A. Lakers,8.0,,45.9,0.579,,0.839,12.6,4.8,1.0,4.1,28.5
8,1980,L.A. Lakers,15.0,,41.2,0.572,,0.79,12.1,3.1,1.1,3.9,31.9
9,1981,L.A. Lakers,3.0,,44.7,0.462,,0.714,16.7,4.0,1.0,2.7,26.7
10,1982,L.A. Lakers,14.0,,35.2,0.52,,0.632,8.5,3.6,1.0,3.2,20.4
11,1983,L.A. Lakers,15.0,,39.2,0.568,0.0,0.755,7.7,2.8,1.1,3.7,27.1
12,1984,L.A. Lakers,21.0,,36.5,0.555,,0.75,8.2,3.8,1.1,2.1,23.9
13,1985,L.A. Lakers,19.0,19.0,32.1,0.56,,0.777,8.1,4.0,1.2,1.9,21.9
14,1986,L.A. Lakers,14.0,14.0,34.9,0.557,,0.787,5.9,3.5,1.1,1.7,25.9
15,1987,L.A. Lakers,18.0,18.0,31.1,0.53,0.0,0.795,6.8,2.0,0.4,1.9,19.2
16,1988,L.A. Lakers,24.0,24.0,29.9,0.464,0.0,0.789,5.5,1.5,0.6,1.5,14.1
17,1989,L.A. Lakers,15.0,15.0,23.4,0.463,,0.721,3.9,1.3,0.3,0.7,11.1
