,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1969–70,Milwaukee,82.0,,43.1,0.518,,0.653,14.5,4.1,,,28.8
1,1970–71,Milwaukee,82.0,,40.1,0.577,,0.69,16.0,3.3,,,31.7
2,1971–72,Milwaukee,81.0,,44.2,0.574,,0.689,16.6,4.6,,,34.8
3,1972–73,Milwaukee,76.0,,42.8,0.554,,0.713,16.1,5.0,,,30.2
4,1973–74,Milwaukee,81.0,,43.8,0.539,,0.702,14.5,4.8,1.4,3.5,27.0
5,1974–75,Milwaukee,65.0,,42.3,0.513,,0.763,14.0,4.1,1.0,3.3,30.0
6,1975–76,L.A. Lakers,82.0,,41.2,0.529,,0.703,16.9,5.0,1.5,4.1,27.7
7,1976–77,L.A. Lakers,82.0,,36.8,0.579,,0.701,13.3,3.9,1.2,3.2,26.2
8,1977–78,L.A. Lakers,62.0,,36.5,0.55,,0.783,12.9,4.3,1.7,3.0,25.8
9,1978–79,L.A. Lakers,80.0,,39.5,0.577,,0.736,12.8,5.4,1.0,4.0,23.8
10,1979–80,L.A. Lakers,82.0,,38.3,0.604,0.0,0.765,10.8,4.5,1.0,3.4,24.8
11,1980–81,L.A. Lakers,80.0,,37.2,0.574,0.0,0.766,10.3,3.4,0.7,2.9,26.2
12,1981–82,L.A. Lakers,76.0,76.0,35.2,0.579,0.0,0.706,8.7,3.0,0.8,2.7,23.9
13,1982–83,L.A. Lakers,79.0,79.0,32.3,0.588,0.0,0.749,7.5,2.5,0.8,2.2,21.8
14,1983–84,L.A. Lakers,80.0,80.0,32.8,0.578,0.0,0.723,7.3,2.6,0.7,1.8,21.5
15,1984–85,L.A. Lakers,79.0,79.0,33.3,0.599,0.0,0.732,7.9,3.2,0.8,2.1,22.0
16,1985–86,L.A. Lakers,79.0,79.0,33.3,0.564,0.0,0.765,6.1,3.5,0.8,1.6,23.4
17,1986–87,L.A. Lakers,78.0,78.0,31.3,0.564,0.333,0.714,6.7,2.6,0.6,1.2,17.5
18,1987–88,L.A. Lakers,80.0,80.0,28.9,0.532,0.0,0.762,6.0,1.7,0.6,1.2,14.6
19,1988–89,L.A. Lakers,74.0,74.0,22.9,0.475,0.0,0.739,4.5,1.0,0.5,1.1,10.1
