,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1986,Utah,4.0,4.0,36.0,0.528,0.0,0.423,7.5,1.0,2.0,0.0,21.8
1,1987,Utah,5.0,5.0,40.0,0.42,0.0,0.722,9.6,1.2,2.2,0.8,20.0
2,1988,Utah,11.0,11.0,44.9,0.482,0.0,0.723,11.8,1.5,1.2,0.6,29.7
3,1989,Utah,3.0,3.0,45.3,0.5,0.0,0.813,16.3,1.3,1.0,0.3,30.7
4,1990,Utah,5.0,5.0,40.6,0.438,0.0,0.756,10.2,2.2,2.2,1.0,25.2
5,1991,Utah,9.0,9.0,42.6,0.455,0.0,0.846,13.3,3.2,1.0,1.2,29.7
6,1992,Utah,16.0,16.0,43.0,0.521,0.0,0.805,11.3,2.6,1.4,1.2,29.1
7,1993,Utah,5.0,5.0,43.2,0.454,0.5,0.816,10.4,2.0,1.2,0.4,24.0
8,1994,Utah,16.0,16.0,43.9,0.467,0.0,0.738,12.4,3.4,1.4,0.8,27.1
9,1995,Utah,5.0,5.0,43.2,0.466,0.333,0.692,13.2,3.8,1.4,0.4,30.2
10,1996,Utah,18.0,18.0,40.3,0.469,0.0,0.574,10.3,4.4,1.9,0.6,26.5
11,1997,Utah,20.0,20.0,40.8,0.435,0.5,0.72,11.4,2.9,1.4,0.8,26.0
12,1998,Utah,20.0,20.0,39.8,0.471,0.0,0.788,10.9,3.4,1.1,1.0,26.3
13,1999,Utah,11.0,11.0,41.0,0.417,0.0,0.791,11.3,4.7,1.2,0.7,21.8
14,2000,Utah,10.0,10.0,38.6,0.52,1.0,0.81,8.9,3.1,0.7,0.7,27.2
15,2001,Utah,5.0,5.0,39.8,0.405,0.5,0.796,8.8,3.4,1.0,0.8,27.6
16,2002,Utah,4.0,4.0,40.8,0.411,0.0,0.714,7.5,4.5,0.8,0.8,20.0
17,2003,Utah,5.0,5.0,38.2,0.405,0.0,0.732,6.8,4.0,1.6,0.4,19.6
18,2004,L.A. Lakers,21.0,21.0,38.0,0.45,0.0,0.63,8.8,3.4,1.1,0.1,11.5
