,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1985–86,Utah,81.0,76.0,30.6,0.496,0.0,0.481,8.9,2.9,1.3,0.5,14.9
1,1986–87,Utah,82.0,82.0,34.8,0.512,0.0,0.598,10.4,1.9,1.3,0.7,21.7
2,1987–88,Utah,82.0,82.0,39.0,0.52,0.0,0.7,12.0,2.4,1.4,0.6,27.7
3,1988–89,Utah,80.0,80.0,39.1,0.519,0.313,0.766,10.7,2.7,1.8,0.9,29.1
4,1989–90,Utah,82.0,82.0,38.1,0.562,0.372,0.762,11.1,2.8,1.5,0.6,31.0
5,1990–91,Utah,82.0,82.0,40.3,0.527,0.286,0.77,11.8,3.3,1.1,1.0,29.0
6,1991–92,Utah,81.0,81.0,37.7,0.526,0.176,0.778,11.2,3.0,1.3,0.6,28.0
7,1992–93,Utah,82.0,82.0,37.8,0.552,0.2,0.74,11.2,3.8,1.5,1.0,27.0
8,1993–94,Utah,82.0,82.0,40.6,0.497,0.25,0.694,11.5,4.0,1.5,1.5,25.2
9,1994–95,Utah,82.0,82.0,38.1,0.536,0.268,0.742,10.6,3.5,1.6,1.0,26.7
10,1995–96,Utah,82.0,82.0,38.0,0.519,0.4,0.723,9.8,4.2,1.7,0.7,25.7
11,1996–97,Utah,82.0,82.0,36.6,0.55,0.0,0.755,9.9,4.5,1.4,0.6,27.4
12,1997–98,Utah,81.0,81.0,37.4,0.53,0.333,0.761,10.3,3.9,1.2,0.9,27.0
13,1998–99,Utah,49.0,49.0,37.4,0.493,0.0,0.788,9.4,4.1,1.3,0.6,23.8
14,1999–00,Utah,82.0,82.0,35.9,0.509,0.25,0.797,9.5,3.7,1.0,0.9,25.5
15,2000–01,Utah,81.0,81.0,35.7,0.498,0.4,0.793,8.3,4.5,1.1,0.8,23.2
16,2001–02,Utah,80.0,80.0,38.0,0.454,0.36,0.797,8.6,4.3,1.9,0.7,22.4
17,2002–03,Utah,81.0,81.0,36.2,0.462,0.214,0.763,7.8,4.7,1.7,0.4,20.6
18,2003–04,L.A. Lakers,42.0,42.0,32.7,0.483,0.0,0.747,8.7,3.9,1.2,0.5,13.2
