,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2010,Oklahoma City,6.0,6.0,38.5,0.35,0.286,0.871,7.7,2.3,0.5,1.3,25.0
1,2011,Oklahoma City,17.0,17.0,42.5,0.449,0.339,0.838,8.2,2.8,0.9,1.1,28.6
2,2012,Oklahoma City,20.0,20.0,41.9,0.517,0.373,0.864,7.4,3.7,1.5,1.2,28.5
3,2013,Oklahoma City,11.0,11.0,44.1,0.455,0.314,0.83,9.0,6.3,1.3,1.1,30.8
4,2014,Oklahoma City,19.0,19.0,42.9,0.46,0.344,0.81,8.9,3.9,1.0,1.3,29.6
5,2016,Oklahoma City,18.0,18.0,40.3,0.43,0.282,0.89,7.1,3.3,1.0,1.0,28.4
6,2017,Golden State,15.0,15.0,35.5,0.556,0.442,0.893,8.0,4.3,0.8,1.3,28.5
7,2018,Golden State,21.0,21.0,38.4,0.487,0.341,0.901,7.8,4.7,0.7,1.2,29.0
8,2019,Golden State,12.0,12.0,36.8,0.514,0.438,0.903,4.9,4.5,1.1,1.0,32.3
9,2021,Brooklyn,12.0,12.0,40.4,0.514,0.402,0.871,9.3,4.4,1.5,1.6,34.3
