,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2007–08,Seattle,80.0,80.0,34.6,0.43,0.288,0.873,4.4,2.4,1.0,0.9,20.3
1,2008–09,Oklahoma City,74.0,74.0,39.0,0.476,0.422,0.863,6.5,2.8,1.3,0.7,25.3
2,2009–10,Oklahoma City,82.0,82.0,39.5,0.476,0.365,0.9,7.6,2.8,1.4,1.0,30.1
3,2010–11,Oklahoma City,78.0,78.0,38.9,0.462,0.35,0.88,6.8,2.7,1.1,1.0,27.7
4,2011–12,Oklahoma City,66.0,66.0,38.6,0.496,0.387,0.86,8.0,3.5,1.3,1.2,28.0
5,2012–13,Oklahoma City,81.0,81.0,38.5,0.51,0.416,0.905,7.9,4.6,1.4,1.3,28.1
6,2013–14,Oklahoma City,81.0,81.0,38.5,0.503,0.391,0.873,7.4,5.5,1.3,0.7,32.0
7,2014–15,Oklahoma City,27.0,27.0,33.8,0.51,0.403,0.854,6.6,4.1,0.9,0.9,25.4
8,2015–16,Oklahoma City,72.0,72.0,35.8,0.505,0.388,0.898,8.2,5.0,1.0,1.2,28.2
9,2016–17,Golden State,62.0,62.0,33.4,0.537,0.375,0.875,8.3,4.9,1.1,1.6,25.1
10,2017–18,Golden State,68.0,68.0,34.2,0.516,0.419,0.889,6.8,5.4,0.7,1.8,26.4
11,2018–19,Golden State,78.0,78.0,34.6,0.521,0.353,0.885,6.4,5.9,0.7,1.1,26.0
12,2020–21,Brooklyn,35.0,32.0,33.1,0.537,0.45,0.882,7.1,5.6,0.7,1.3,26.9
