,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1997,L.A. Lakers,9.0,0.0,14.8,0.382,0.261,0.867,1.2,1.2,0.3,0.2,8.2
1,1998,L.A. Lakers,11.0,0.0,20.0,0.408,0.214,0.689,1.9,1.5,0.3,0.7,8.7
2,1999,L.A. Lakers,8.0,8.0,39.4,0.43,0.348,0.8,6.9,4.6,1.9,1.3,19.8
3,2000,L.A. Lakers,22.0,22.0,39.0,0.442,0.344,0.754,4.5,4.4,1.5,1.5,21.1
4,2001,L.A. Lakers,16.0,16.0,43.4,0.469,0.324,0.821,7.3,6.1,1.6,0.8,29.4
5,2002,L.A. Lakers,19.0,19.0,43.8,0.434,0.379,0.759,5.8,4.6,1.4,0.9,26.6
6,2003,L.A. Lakers,12.0,12.0,44.3,0.432,0.403,0.827,5.1,5.2,1.2,0.1,32.1
7,2004,L.A. Lakers,22.0,22.0,44.2,0.413,0.247,0.813,4.7,5.5,1.9,0.3,24.5
8,2006,L.A. Lakers,7.0,7.0,44.9,0.497,0.4,0.771,6.3,5.1,1.1,0.4,27.9
9,2007,L.A. Lakers,5.0,5.0,43.0,0.462,0.357,0.919,5.2,4.4,1.0,0.4,32.8
10,2008,L.A. Lakers,21.0,21.0,41.1,0.479,0.302,0.809,5.7,5.6,1.7,0.4,30.1
11,2009,L.A. Lakers,23.0,23.0,40.8,0.457,0.349,0.883,5.3,5.5,1.7,0.9,30.2
12,2010,L.A. Lakers,23.0,23.0,40.1,0.458,0.374,0.842,6.0,5.5,1.3,0.7,29.2
13,2011,L.A. Lakers,10.0,10.0,35.4,0.446,0.293,0.82,3.4,3.3,1.6,0.3,22.8
14,2012,L.A. Lakers,12.0,12.0,39.7,0.439,0.283,0.832,4.8,4.3,1.3,0.2,30.0
