,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1980,Boston,9.0,9.0,41.3,0.469,0.267,0.88,11.2,4.7,1.6,0.9,21.3
1,1981,Boston,17.0,17.0,44.1,0.47,0.375,0.894,14.0,6.1,2.3,1.0,21.9
2,1982,Boston,12.0,12.0,40.8,0.427,0.167,0.822,12.5,5.6,1.9,1.4,17.8
3,1983,Boston,6.0,6.0,40.0,0.422,0.25,0.828,12.5,6.8,2.2,0.5,20.5
4,1984,Boston,23.0,23.0,41.8,0.524,0.412,0.879,11.0,5.9,2.3,1.2,27.5
5,1985,Boston,20.0,20.0,40.8,0.461,0.28,0.89,9.1,5.8,1.7,1.0,26.0
6,1986,Boston,18.0,18.0,42.8,0.517,0.411,0.927,9.3,8.2,2.1,0.6,25.9
7,1987,Boston,23.0,23.0,44.1,0.476,0.341,0.912,10.0,7.2,1.2,0.8,27.0
8,1988,Boston,17.0,17.0,44.9,0.45,0.375,0.894,8.8,6.8,2.1,0.8,24.5
9,1990,Boston,5.0,5.0,41.4,0.444,0.263,0.906,9.2,8.8,1.0,1.0,24.4
10,1991,Boston,10.0,10.0,39.6,0.408,0.143,0.863,7.2,6.5,1.3,0.3,17.1
11,1992,Boston,4.0,2.0,26.8,0.5,0.0,0.75,4.5,5.3,0.3,0.5,11.3
