,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1979–80,Boston,82.0,82.0,36.0,0.474,0.406,0.836,10.4,4.5,1.7,0.6,21.3
1,1980–81,Boston,82.0,82.0,39.5,0.478,0.27,0.863,10.9,5.5,2.0,0.8,21.2
2,1981–82,Boston,77.0,58.0,38.0,0.503,0.212,0.863,10.9,5.8,1.9,0.9,22.9
3,1982–83,Boston,79.0,79.0,37.7,0.504,0.286,0.84,11.0,5.8,1.9,0.9,23.6
4,1983–84,Boston,79.0,77.0,38.3,0.492,0.247,0.888,10.1,6.6,1.8,0.9,24.2
5,1984–85,Boston,80.0,77.0,39.5,0.522,0.427,0.882,10.5,6.6,1.6,1.2,28.7
6,1985–86,Boston,82.0,81.0,38.0,0.496,0.423,0.896,9.8,6.8,2.0,0.6,25.8
7,1986–87,Boston,74.0,73.0,40.6,0.525,0.4,0.91,9.2,7.6,1.8,0.9,28.1
8,1987–88,Boston,76.0,75.0,39.0,0.527,0.414,0.916,9.3,6.1,1.6,0.8,29.9
9,1988–89,Boston,6.0,6.0,31.5,0.471,,0.947,6.2,4.8,1.0,0.8,19.3
10,1989–90,Boston,75.0,75.0,39.3,0.473,0.333,0.93,9.5,7.5,1.4,0.8,24.3
11,1990–91,Boston,60.0,60.0,38.0,0.454,0.389,0.891,8.5,7.2,1.8,1.0,19.4
12,1991–92,Boston,45.0,45.0,36.9,0.466,0.406,0.926,9.6,6.8,0.9,0.7,20.2
