,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2006,Cleveland,13.0,13.0,46.5,0.476,0.333,0.737,8.1,5.8,1.4,0.7,30.8
1,2007,Cleveland,20.0,20.0,44.7,0.416,0.28,0.755,8.1,8.0,1.7,0.5,25.1
2,2008,Cleveland,13.0,13.0,42.5,0.411,0.257,0.731,7.8,7.6,1.8,1.3,28.2
3,2009,Cleveland,14.0,14.0,41.4,0.51,0.333,0.749,9.1,7.3,1.6,0.9,35.3
4,2010,Cleveland,11.0,11.0,41.8,0.502,0.4,0.733,9.3,7.6,1.7,1.8,29.1
5,2011,Miami,21.0,21.0,43.9,0.466,0.353,0.763,8.4,5.9,1.7,1.2,23.7
6,2012,Miami,23.0,23.0,42.7,0.5,0.259,0.739,9.7,5.6,1.9,0.7,30.3
7,2013,Miami,23.0,23.0,41.7,0.491,0.375,0.777,8.4,6.6,1.8,0.8,25.9
8,2014,Miami,20.0,20.0,38.2,0.565,0.407,0.806,7.1,4.8,1.9,0.6,27.4
9,2015,Cleveland,20.0,20.0,42.2,0.417,0.227,0.731,11.3,8.5,1.7,1.1,30.1
10,2016,Cleveland,21.0,21.0,39.1,0.525,0.34,0.661,9.5,7.6,2.3,1.3,26.3
11,2017,Cleveland,18.0,18.0,41.3,0.565,0.411,0.698,9.1,7.8,1.9,1.3,32.8
12,2018,Cleveland,22.0,22.0,41.9,0.539,0.342,0.746,9.1,9.0,1.4,1.0,34.0
13,2020,L.A. Lakers,21.0,21.0,36.3,0.56,0.37,0.72,10.8,8.8,1.2,0.9,27.6
14,2021,L.A. Lakers,6.0,6.0,37.3,0.474,0.375,0.609,7.2,8.0,1.5,0.3,23.3
