,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1980,L.A. Lakers,16.0,16.0,41.1,0.518,0.25,0.802,10.5,9.4,3.1,0.4,18.3
1,1981,L.A. Lakers,3.0,3.0,42.3,0.388,0.0,0.65,13.7,7.0,2.7,1.0,17.0
2,1982,L.A. Lakers,14.0,14.0,40.1,0.529,0.0,0.828,11.3,9.3,2.9,0.2,17.4
3,1983,L.A. Lakers,15.0,15.0,42.9,0.485,0.0,0.84,8.5,12.8,2.3,0.8,17.9
4,1984,L.A. Lakers,21.0,21.0,39.9,0.551,0.0,0.8,6.6,13.5,2.0,1.0,18.2
5,1985,L.A. Lakers,19.0,19.0,36.2,0.513,0.143,0.847,7.1,15.2,1.7,0.2,17.5
6,1986,L.A. Lakers,14.0,14.0,38.6,0.537,0.0,0.766,7.1,15.1,1.9,0.1,21.6
7,1987,L.A. Lakers,18.0,18.0,37.0,0.539,0.2,0.831,7.7,12.2,1.7,0.4,21.8
8,1988,L.A. Lakers,24.0,24.0,40.2,0.514,0.5,0.852,5.4,12.6,1.4,0.2,19.9
9,1989,L.A. Lakers,14.0,14.0,37.0,0.489,0.286,0.907,5.9,11.8,1.9,0.2,18.4
10,1990,L.A. Lakers,9.0,9.0,41.8,0.49,0.2,0.886,6.3,12.8,1.2,0.1,25.2
11,1991,L.A. Lakers,19.0,19.0,43.3,0.44,0.296,0.882,8.1,12.6,1.2,0.0,21.8
12,1996,L.A. Lakers,4.0,0.0,33.8,0.385,0.333,0.848,8.5,6.5,0.0,0.0,15.3
