,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1979–80,L.A. Lakers,77.0,72.0,36.3,0.53,0.226,0.81,7.7,7.3,2.4,0.5,18.0
1,1980–81,L.A. Lakers,37.0,35.0,37.1,0.532,0.176,0.76,8.6,8.6,3.4,0.7,21.6
2,1981–82,L.A. Lakers,78.0,77.0,38.3,0.537,0.207,0.76,9.6,9.5,2.7,0.4,18.6
3,1982–83,L.A. Lakers,79.0,79.0,36.8,0.548,0.0,0.8,8.6,10.5,2.2,0.6,16.8
4,1983–84,L.A. Lakers,67.0,66.0,38.3,0.565,0.207,0.81,7.3,13.1,2.2,0.7,17.6
5,1984–85,L.A. Lakers,77.0,77.0,36.1,0.561,0.189,0.843,6.2,12.6,1.5,0.3,18.3
6,1985–86,L.A. Lakers,72.0,70.0,35.8,0.526,0.233,0.871,5.9,12.6,1.6,0.2,18.8
7,1986–87,L.A. Lakers,80.0,80.0,36.3,0.522,0.205,0.848,6.3,12.2,1.7,0.4,23.9
8,1987–88,L.A. Lakers,72.0,70.0,36.6,0.492,0.196,0.853,6.2,11.9,1.6,0.2,19.6
9,1988–89,L.A. Lakers,77.0,77.0,37.5,0.509,0.314,0.911,7.9,12.8,1.8,0.3,22.5
10,1989–90,L.A. Lakers,79.0,79.0,37.2,0.48,0.384,0.89,6.6,11.5,1.7,0.4,22.3
11,1990–91,L.A. Lakers,79.0,79.0,37.1,0.477,0.32,0.906,7.0,12.5,1.3,0.2,19.4
12,1995–96,L.A. Lakers,32.0,9.0,29.9,0.466,0.379,0.856,5.7,6.9,0.8,0.4,14.6
