,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1985,Chicago,4.0,4.0,42.8,0.436,0.125,0.828,5.8,8.5,2.8,1.0,29.3
1,1986,Chicago,3.0,3.0,45.0,0.505,1.0,0.872,6.3,5.7,2.3,1.3,43.7
2,1987,Chicago,3.0,3.0,42.7,0.417,0.4,0.897,7.0,6.0,2.0,2.3,35.7
3,1988,Chicago,10.0,10.0,42.7,0.531,0.333,0.869,7.1,4.7,2.4,1.1,36.3
4,1989,Chicago,17.0,17.0,42.2,0.51,0.286,0.799,7.0,7.6,2.5,0.8,34.8
5,1990,Chicago,16.0,16.0,42.1,0.514,0.32,0.836,7.2,6.8,2.8,0.9,36.7
6,1991,Chicago,17.0,17.0,40.5,0.524,0.385,0.845,6.4,8.4,2.4,1.4,31.1
7,1992,Chicago,22.0,22.0,41.8,0.499,0.386,0.857,6.2,5.8,2.0,0.7,34.5
8,1993,Chicago,19.0,19.0,41.2,0.475,0.389,0.805,6.7,6.0,2.1,0.9,35.1
9,1995,Chicago,10.0,10.0,42.0,0.484,0.367,0.81,6.5,4.5,2.3,1.4,31.5
10,1996,Chicago,18.0,18.0,40.7,0.459,0.403,0.818,4.9,4.1,1.8,0.3,30.7
11,1997,Chicago,19.0,19.0,42.3,0.456,0.194,0.831,7.9,4.8,1.6,0.9,31.1
12,1998,Chicago,21.0,21.0,41.5,0.462,0.302,0.812,5.1,3.5,1.5,0.6,32.4
