,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1984–85,Chicago,82.0,82.0,38.3,0.515,0.173,0.845,6.5,5.9,2.4,0.8,28.2
1,1985–86,Chicago,18.0,7.0,25.1,0.457,0.167,0.84,3.6,2.9,2.1,1.2,22.7
2,1986–87,Chicago,82.0,82.0,40.0,0.482,0.182,0.857,5.2,4.6,2.9,1.5,37.1
3,1987–88,Chicago,82.0,82.0,40.4,0.535,0.132,0.841,5.5,5.9,3.2,1.6,35.0
4,1988–89,Chicago,81.0,81.0,40.2,0.538,0.276,0.85,8.0,8.0,2.9,0.8,32.5
5,1989–90,Chicago,82.0,82.0,39.0,0.526,0.376,0.848,6.9,6.3,2.8,0.7,33.6
6,1990–91,Chicago,82.0,82.0,37.0,0.539,0.312,0.851,6.0,5.5,2.7,1.0,31.5
7,1991–92,Chicago,80.0,80.0,38.8,0.519,0.27,0.832,6.4,6.1,2.3,0.9,30.1
8,1992–93,Chicago,78.0,78.0,39.3,0.495,0.352,0.837,6.7,5.5,2.8,0.8,32.6
9,1994–95,Chicago,17.0,17.0,39.3,0.411,0.5,0.801,6.9,5.3,1.8,0.8,26.9
10,1995–96,Chicago,82.0,82.0,37.7,0.495,0.427,0.834,6.6,4.3,2.2,0.5,30.4
11,1996–97,Chicago,82.0,82.0,37.9,0.486,0.374,0.833,5.9,4.3,1.7,0.5,29.6
12,1997–98,Chicago,82.0,82.0,38.8,0.465,0.238,0.784,5.8,3.5,1.7,0.5,28.7
13,2001–02,Wash­ington,60.0,53.0,34.9,0.416,0.189,0.79,5.7,5.2,1.4,0.4,22.9
14,2002–03,Wash­ington,82.0,67.0,37.0,0.445,0.291,0.821,6.1,3.8,1.5,0.5,20.0
