,Year,Team,GP,MPG,FG%,FT%,RPG,APG,PPG
0,1962,Cincinnati,4.0,46.3,0.519,0.795,11.0,11.0,28.8
1,1963,Cincinnati,12.0,47.5,0.47,0.864,13.0,9.0,31.8
2,1964,Cincinnati,10.0,47.1,0.455,0.858,8.9,8.4,29.3
3,1965,Cincinnati,4.0,48.8,0.427,0.923,4.8,12.0,28.0
4,1966,Cincinnati,5.0,44.8,0.408,0.897,7.6,7.8,31.8
5,1967,Cincinnati,4.0,45.8,0.516,0.892,4.0,11.3,24.8
6,1971,Milwaukee,14.0,37.1,0.486,0.754,5.0,8.9,18.3
7,1972,Milwaukee,11.0,34.5,0.407,0.833,5.8,7.5,13.1
8,1973,Milwaukee,6.0,42.7,0.5,0.912,4.7,7.5,21.2
9,1974,Milwaukee,16.0,43.1,0.45,0.846,3.4,9.3,14.0
