,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2010,Oklahoma City,6.0,6.0,35.3,0.473,0.417,0.842,6.0,6.0,1.7,0.2,20.5
1,2011,Oklahoma City,17.0,17.0,37.5,0.394,0.292,0.852,5.4,6.4,1.4,0.4,23.8
2,2012,Oklahoma City,20.0,20.0,38.4,0.435,0.277,0.802,5.5,5.8,1.6,0.4,23.1
3,2013,Oklahoma City,2.0,2.0,34.0,0.415,0.222,0.857,6.5,7.0,3.0,0.0,24.0
4,2014,Oklahoma City,19.0,19.0,38.7,0.42,0.28,0.884,7.3,8.1,2.2,0.3,26.7
5,2016,Oklahoma City,18.0,18.0,37.4,0.405,0.324,0.829,6.9,11.0,2.6,0.1,26.0
6,2017,Oklahoma City,5.0,5.0,38.8,0.388,0.265,0.8,11.6,10.8,2.4,0.4,37.4
7,2018,Oklahoma City,6.0,6.0,39.2,0.398,0.357,0.825,12.0,7.5,1.5,0.0,29.3
8,2019,Oklahoma City,5.0,5.0,39.4,0.36,0.324,0.885,8.8,10.6,1.0,0.6,22.8
9,2020,Houston,8.0,8.0,32.8,0.421,0.242,0.532,7.0,4.6,1.5,0.3,17.9
10,2021,Washington,5.0,5.0,37.2,0.333,0.25,0.791,10.4,11.8,0.4,0.2,19.0
