,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2008–09,Oklahoma City,82.0,65.0,32.5,0.398,0.271,0.815,4.9,5.3,1.3,0.2,15.3
1,2009–10,Oklahoma City,82.0,82.0,34.3,0.418,0.221,0.78,4.9,8.0,1.3,0.4,16.1
2,2010–11,Oklahoma City,82.0,82.0,34.7,0.442,0.33,0.842,4.6,8.2,1.9,0.4,21.9
3,2011–12,Oklahoma City,66.0,66.0,35.3,0.457,0.316,0.823,4.6,5.5,1.7,0.3,23.6
4,2012–13,Oklahoma City,82.0,82.0,34.9,0.438,0.323,0.8,5.2,7.4,1.8,0.3,23.2
5,2013–14,Oklahoma City,46.0,46.0,30.7,0.437,0.318,0.826,5.7,6.9,1.9,0.2,21.8
6,2014–15,Oklahoma City,67.0,67.0,34.4,0.426,0.299,0.835,7.3,8.6,2.1,0.2,28.1
7,2015–16,Oklahoma City,80.0,80.0,34.4,0.454,0.296,0.812,7.8,10.4,2.0,0.3,23.5
8,2016–17,Oklahoma City,81.0,81.0,34.6,0.425,0.343,0.845,10.7,10.4,1.6,0.4,31.6
9,2017–18,Oklahoma City,80.0,80.0,36.4,0.449,0.298,0.737,10.1,10.3,1.8,0.3,25.4
10,2018–19,Oklahoma City,73.0,73.0,36.0,0.428,0.29,0.656,11.1,10.7,1.9,0.5,22.9
11,2019–20,Houston,57.0,57.0,35.9,0.472,0.258,0.763,7.9,7.0,1.6,0.4,27.2
12,2020–21,Washington,65.0,65.0,36.4,0.439,0.315,0.656,11.5,11.7,1.4,0.4,22.2
