,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1988,Chicago,10.0,6.0,29.4,0.465,0.5,0.714,5.2,2.4,0.8,0.8,10.0
1,1989,Chicago,17.0,17.0,36.4,0.462,0.393,0.64,7.6,3.9,1.4,0.9,13.1
2,1990,Chicago,15.0,14.0,40.8,0.495,0.323,0.71,7.2,5.5,2.1,1.3,19.3
3,1991,Chicago,17.0,17.0,41.4,0.504,0.235,0.792,8.9,5.8,2.5,1.1,21.6
4,1992,Chicago,22.0,22.0,40.9,0.468,0.25,0.761,8.8,6.7,1.9,1.1,19.5
5,1993,Chicago,19.0,19.0,41.5,0.465,0.176,0.638,6.9,5.6,2.2,0.7,20.1
6,1994,Chicago,10.0,10.0,38.4,0.434,0.267,0.885,8.3,4.6,2.4,0.7,22.8
7,1995,Chicago,10.0,10.0,39.6,0.443,0.368,0.676,8.6,5.8,1.4,1.0,17.8
8,1996,Chicago,18.0,18.0,41.2,0.39,0.286,0.638,8.5,5.9,2.6,0.9,16.9
9,1997,Chicago,19.0,19.0,39.6,0.417,0.345,0.791,6.8,3.8,1.5,0.9,19.2
10,1998,Chicago,21.0,21.0,39.8,0.415,0.228,0.679,7.1,5.2,2.1,1.0,16.8
11,1999,Houston,4.0,4.0,43.0,0.329,0.273,0.808,11.8,5.5,1.8,0.8,18.3
12,2000,Portland,16.0,16.0,38.4,0.419,0.3,0.743,7.1,4.3,2.0,0.4,14.9
13,2001,Portland,3.0,3.0,39.0,0.421,0.176,0.667,5.7,2.3,2.7,0.7,13.7
14,2002,Portland,3.0,3.0,33.0,0.409,0.545,0.875,9.3,5.7,1.3,0.7,16.3
15,2003,Portland,4.0,1.0,18.8,0.409,0.333,1.0,2.8,3.3,0.0,0.0,5.8
