,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1987–88,Chicago,79.0,0.0,20.9,0.463,0.174,0.576,3.8,2.1,1.2,0.7,7.9
1,1988–89,Chicago,73.0,56.0,33.1,0.476,0.273,0.668,6.1,3.5,1.9,0.8,14.4
2,1989–90,Chicago,82.0,82.0,38.4,0.489,0.25,0.675,6.7,5.4,2.6,1.2,16.5
3,1990–91,Chicago,82.0,82.0,36.8,0.52,0.309,0.706,7.3,6.2,2.4,1.1,17.8
4,1991–92,Chicago,82.0,82.0,38.6,0.506,0.2,0.76,7.7,7.0,1.9,1.1,21.0
5,1992–93,Chicago,81.0,81.0,38.6,0.473,0.237,0.663,7.7,6.3,2.1,0.9,18.6
6,1993–94,Chicago,72.0,72.0,38.3,0.491,0.32,0.66,8.7,5.6,2.9,0.8,22.0
7,1994–95,Chicago,79.0,79.0,38.2,0.48,0.345,0.716,8.1,5.2,2.9,1.1,21.4
8,1995–96,Chicago,77.0,77.0,36.7,0.463,0.374,0.679,6.4,5.9,1.7,0.7,19.4
9,1996–97,Chicago,82.0,82.0,37.7,0.474,0.368,0.701,6.5,5.7,1.9,0.6,20.2
10,1997–98,Chicago,44.0,44.0,37.5,0.447,0.318,0.777,5.2,5.8,1.8,1.0,19.1
11,1998–99,Houston,50.0,50.0,40.2,0.432,0.34,0.721,6.5,5.9,2.0,0.7,14.5
12,1999–00,Portland,82.0,82.0,33.5,0.451,0.327,0.717,6.3,5.0,1.4,0.5,12.5
13,2000–01,Portland,64.0,60.0,33.3,0.451,0.344,0.739,5.2,4.6,1.5,0.6,11.3
14,2001–02,Portland,62.0,60.0,32.2,0.411,0.305,0.774,5.2,5.9,1.6,0.6,10.6
15,2002–03,Portland,64.0,58.0,29.9,0.444,0.286,0.818,4.3,4.5,1.6,0.4,10.8
16,2003–04,Chicago,23.0,6.0,17.9,0.379,0.271,0.63,3.0,2.2,0.9,0.4,5.9
