,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1994,Orlando,3.0,3.0,42.0,0.511,0.0,0.471,13.3,2.3,0.7,3.0,20.7
1,1995,Orlando,21.0,21.0,38.3,0.577,0.0,0.571,11.9,3.3,0.9,1.9,25.7
2,1996,Orlando,12.0,12.0,38.3,0.606,0.0,0.393,10.0,4.6,0.8,1.3,25.8
3,1997,L.A. Lakers,9.0,9.0,36.2,0.514,0.0,0.61,10.6,3.2,0.6,1.9,26.9
4,1998,L.A. Lakers,13.0,13.0,38.5,0.612,0.0,0.503,10.2,2.9,0.5,2.6,30.5
5,1999,L.A. Lakers,8.0,8.0,39.4,0.51,0.0,0.466,11.6,2.3,0.9,2.9,26.6
6,2000,L.A. Lakers,23.0,23.0,43.5,0.566,0.0,0.456,15.4,3.1,0.6,2.4,30.7
7,2001,L.A. Lakers,16.0,16.0,42.3,0.555,0.0,0.525,15.4,3.2,0.4,2.4,30.4
8,2002,L.A. Lakers,19.0,19.0,40.8,0.529,0.0,0.649,12.6,2.8,0.5,2.5,28.5
9,2003,L.A. Lakers,12.0,12.0,40.1,0.535,0.0,0.621,14.8,3.7,0.6,2.8,27.0
10,2004,L.A. Lakers,22.0,22.0,41.7,0.593,0.0,0.429,13.2,2.5,0.3,2.8,21.5
11,2005,Miami,13.0,13.0,33.2,0.558,0.0,0.472,7.8,1.9,0.4,1.5,19.4
12,2006,Miami,23.0,23.0,33.0,0.612,0.0,0.374,9.8,1.7,0.5,1.5,18.4
13,2007,Miami,4.0,4.0,30.3,0.559,0.0,0.333,8.5,1.3,0.3,1.5,18.8
14,2008,Phoenix,5.0,5.0,30.0,0.44,0.0,0.5,9.2,1.0,1.0,2.6,15.2
15,2010,Cleveland,11.0,11.0,22.1,0.516,0.0,0.66,5.5,1.4,0.2,1.2,11.5
16,2011,Boston,2.0,0.0,6.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0
