,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1967–68,New York,74.0,,21.5,0.451,,0.655,4.2,4.1,,,9.0
1,1968–69,New York,80.0,,36.9,0.505,,0.746,6.2,7.9,,,17.5
2,1969–70,New York,77.0,,39.5,0.518,,0.748,6.0,8.2,,,20.9
3,1970–71,New York,80.0,,43.2,0.494,,0.779,6.8,6.7,,,21.7
4,1971–72,New York,77.0,,40.6,0.512,,0.808,6.7,5.8,,,23.2
5,1972–73,New York,78.0,,40.8,0.49,,0.817,7.3,5.9,,,21.1
6,1973–74,New York,80.0,,41.7,0.472,,0.838,6.7,6.9,2.0,0.2,20.5
7,1974–75,New York,78.0,,41.1,0.483,,0.828,6.0,6.1,2.4,0.2,21.5
8,1975–76,New York,59.0,,41.1,0.485,,0.823,6.8,5.9,1.8,0.2,19.1
9,1976–77,New York,76.0,,35.4,0.489,,0.771,3.9,5.3,1.7,0.1,17.4
10,1977–78,Cleveland,51.0,,32.6,0.471,,0.85,4.1,4.1,1.5,0.3,16.2
11,1978–79,Cleveland,12.0,,23.3,0.443,,0.778,1.7,2.7,1.1,0.2,10.8
12,1979–80,Cleveland,3.0,,9.0,0.364,0.0,1.0,1.0,2.7,0.7,0.3,3.3
