,Year,Team,GP,MPG,FG%,FT%,RPG,APG,PPG
0,1960,Philadelphia,9.0,46.1,0.496,0.445,25.8,2.1,33.2
1,1961,Philadelphia,3.0,48.0,0.489,0.553,23.0,2.0,37.0
2,1962,Philadelphia,12.0,48.0,0.467,0.636,26.6,3.1,35.0
3,1964,San Francisco,12.0,46.5,0.543,0.475,25.2,3.3,34.7
4,1965,Philadelphia,11.0,48.7,0.53,0.559,27.2,4.4,29.3
5,1966,Philadelphia,5.0,48.0,0.509,0.412,30.2,3.0,28.0
6,1967,Philadelphia,15.0,47.9,0.579,0.388,29.1,9.0,21.7
7,1968,Philadelphia,13.0,48.5,0.534,0.38,24.7,6.5,23.7
8,1969,Los Angeles,18.0,46.2,0.545,0.392,24.7,2.6,13.9
9,1970,Los Angeles,18.0,47.3,0.549,0.406,22.2,4.5,22.1
10,1971,Los Angeles,12.0,46.2,0.455,0.515,20.2,4.4,18.3
11,1972,Los Angeles,15.0,46.9,0.563,0.492,21.0,3.3,14.7
12,1973,Los Angeles,17.0,47.1,0.552,0.5,22.5,3.5,10.4
